filename,station,res_tier,part,bytes,sha256
quarter_res_trees_Scan_061_4.lsp,061,quarter,4,1539713,0154fbd949786f355f9479e921f9a3e78045cf67c59ec3ec15da64d276eb0ddb
quarter_res_trees_Scan_061_5.lsp,061,quarter,5,53985186,8d6971f40846648233e93de45a4a85c2ef549af0b62a5b7eb61dd0791e517ecf
quarter_res_trees_Scan_062_0.lsp,062,quarter,0,34085789,26b57e227b8cb4118e00a060e0285171e8e3e09aa22b920d2616b97b81a5d8bb
quarter_res_trees_Scan_062_1.lsp,062,quarter,1,37571679,419e0b8aca908c4c6bb0aa0a26448babe20d605706aca623c4a4163add9e0e0a
quarter_res_trees_Scan_062_2.lsp,062,quarter,2,38543095,3475fb94c5ce91ba33aa40d5cb4105413e2890f77f8d9ba198296d6be0d8d9ce
quarter_res_trees_Scan_062_3.lsp,062,quarter,3,40145372,128573f9ffdd6c7bde204d637b2d4078fc2809ee4dd44ac2c2234326ab4b6651
quarter_res_trees_Scan_062_4.lsp,062,quarter,4,12183132,b87a0a5d1ec78843002701d5ff4e52fb3480b19d34d8e562934445fde9c34aca
quarter_res_trees_Scan_062_5.lsp,062,quarter,5,55889697,c692fef45c4356f376f54a3f46ce2bd7cf207b28111ac6e1d08c85ee04847b1c
quarter_res_trees_Scan_063_0.lsp,063,quarter,0,37951015,65dc02526d870237a4f8f15bafe0b7e2a213801d7478aa15112e003b5cd137dd
quarter_res_trees_Scan_063_1.lsp,063,quarter,1,39895528,35c501b79f3d030e54ad4a47b3ac518de00d1b945ffca51073a87978908cc74c
quarter_res_trees_Scan_063_2.lsp,063,quarter,2,25944450,b92990c6f8df461aae4964a0f39e5d02865cb8c74fc9ea03eab1d76612942407
quarter_res_trees_Scan_063_3.lsp,063,quarter,3,41520140,fb41c480b281b3cc58116a578e0f387438edb9a32719eb60f6f15dfc9c8e2dc5
quarter_res_trees_Scan_063_4.lsp,063,quarter,4,19139143,283ef6d6ed6d839aa3be05e9fd2a722680f2aad8b029b84af478a6f2cdf7466f
quarter_res_trees_Scan_063_5.lsp,063,quarter,5,55713698,730c66f5de9a30e9214db8fd8e9e7cdbf6e7d331e5fee3fecdcd5b0b7425425c
quarter_res_trees_Scan_073_0.lsp,073,quarter,0,34348141,cccd41f7ac7127f40071bc96d8ed52ca22ff6a264b2c493691c4378dabc2dd53
quarter_res_trees_Scan_073_1.lsp,073,quarter,1,38718097,e326d8dcb7f963b3b7554511490b37c44dfd859c452b4c36e3a2f592b27b6291
quarter_res_trees_Scan_073_2.lsp,073,quarter,2,40457020,72abbb0aea37e6c97ed3f8374c1583184213abec239d3d665af6c825d3afaf1a
quarter_res_trees_Scan_073_3.lsp,073,quarter,3,35972784,88150e5fa43e494e50032f5c7393f35f7c14e4f8689f816b08fce88421470012
quarter_res_trees_Scan_073_5.lsp,073,quarter,5,56364684,acf4486e99c79c6b4347f92743adfad27d41739518fff9710831f33487005f5b
quarter_res_trees_Scan_074_0.lsp,074,quarter,0,33821133,95a091e43bdb7e8109f48ceeca34be13cd04e7367c09e077f4420c5f696bdaf4
quarter_res_trees_Scan_074_1.lsp,074,quarter,1,38262672,dcc03917acf81bfe3e8e0aa07ce2f1bb6423429a2ff653f926070b4a45b41aff
quarter_res_trees_Scan_074_2.lsp,074,quarter,2,43127136,b0ccc134baefe5723c91fa20bc2d4edd4d63b6af80324f606665775f60fb7391
quarter_res_trees_Scan_074_3.lsp,074,quarter,3,38293487,0c0a6ede6c385eef702c0efd9a32d75fe623a59c579e3c7cb9c53872d96cec50
quarter_res_trees_Scan_074_4.lsp,074,quarter,4,4720859,afcc23b0300a1085648864a67a2b43888547aa385d70923c5736e17ac3704ad5
quarter_res_trees_Scan_074_5.lsp,074,quarter,5,56090715,9e0075ecb81fb1c09ab50b4f36347879707599d7b92c42a6ce7da7f117a2053b
quarter_res_trees_Scan_075_0.lsp,075,quarter,0,34193300,13cf8741c321d822a3407632ebfcad2526469e0b378f65f82ae61dded7b4dbe0
quarter_res_trees_Scan_075_1.lsp,075,quarter,1,36450553,76c5969ab026a8cd0d5d634cc5e5ad93ef070f54daa201c56e240d52244df3cd
quarter_res_trees_Scan_075_2.lsp,075,quarter,2,43003864,31f6c81abf2503813c5f94127cb6e44f9d996d1d2475d5d717da09573f3597a1
quarter_res_trees_Scan_075_3.lsp,075,quarter,3,35848696,e037be57057bae369fd4b7bb85d4ac08bd9b3106134258b70b1a1ee0a6957d8f
quarter_res_trees_Scan_075_4.lsp,075,quarter,4,5294193,846dda57b936c1f9b2633a31d17cba6010c828f2c594e32831f6d226b633883d
quarter_res_trees_Scan_075_5.lsp,075,quarter,5,55973275,e6ff39c6a6855257d22295a11888229273bebf280a4eba3e5eebe9eed894e66a
quarter_res_trees_Scan_076_0.lsp,076,quarter,0,34506399,124dab8ffacc02d6e77868cec58b3376fc5ff7bfaf401127698c86f7f5d2b456
quarter_res_trees_Scan_076_1.lsp,076,quarter,1,36860844,11c9ea70232610fec3d1c45f455d95b3708d654d374d7848dae1e563dcb47b81
quarter_res_trees_Scan_076_2.lsp,076,quarter,2,44261467,a996a61236c4a9339371948a2291112242027d76135ebae82ad8d0268bdfb3fc
quarter_res_trees_Scan_076_3.lsp,076,quarter,3,36010673,92c962c66c6c26c53acc833f2af5e800ecce84a0c33aacc05587b2e85c9f80ef
quarter_res_trees_Scan_076_4.lsp,076,quarter,4,5633618,3ec5b21c285729234fb63fc19c6a803822dd24e43cdd6e1421ea623c26515665
quarter_res_trees_Scan_076_5.lsp,076,quarter,5,56351098,637a78eef44c69237c06835f0910bbfd771eeb8a66c3f0aa9873e2ee83a9a991
quarter_res_trees_Scan_077_0.lsp,077,quarter,0,34137494,fde33c1f2161e1dac570408f39ab68cf9b5d30d8ae2ce479fb82f8ffd9e39492
quarter_res_trees_Scan_077_1.lsp,077,quarter,1,37501904,00369d1e0e8c87b8fb566daea3183dd9f4cfafe5eaa2f80aa7fd7a590f9c6a0f
quarter_res_trees_Scan_077_2.lsp,077,quarter,2,44203378,fecf30b8aac77bcf87d302483849e1d9236100c53ec787fbcddd1deae34f1c0f
quarter_res_trees_Scan_077_3.lsp,077,quarter,3,35746552,1201a5c4c61184ead201dcf95da7b3fdd15db5abec17c15c378239f67659ab21
quarter_res_trees_Scan_077_4.lsp,077,quarter,4,2484623,73add87a9d94ea2f9d67cf40242ea881bae978956024976681acf203f5418a4f
quarter_res_trees_Scan_077_5.lsp,077,quarter,5,55920240,a19f53d897ce74e574fd7d13c613a94417f6de2a4b59467dd0ffb9f29a23e2a5
quarter_res_trees_Scan_078_0.lsp,078,quarter,0,34208308,8b862b07f82755fa3fab4a4f3c8b1a1252d25e9f6987c03d2dd379c1a8890c94
quarter_res_trees_Scan_078_1.lsp,078,quarter,1,36515566,8c259daa0429091711ac32371fa19f8d158be6196e835df0432cdb92d3942628
quarter_res_trees_Scan_078_2.lsp,078,quarter,2,42561267,22477f044c339002d9fa80055bd4536aaf46ee5dd4a216d69d43fe76cfb3e4f9
quarter_res_trees_Scan_078_3.lsp,078,quarter,3,35178489,089661789a152503412a9841caa92c8c816ecc753080fb994a1c532d3067f55c
quarter_res_trees_Scan_078_4.lsp,078,quarter,4,1889895,f1731d7f954f47999ec23410e5e5ce02c3962cdcef70f6fc7788fc00d2b9b396
